,JakaumaId,AanestysId,Ryhma,Jaa,Ei,Tyhjia,Poissa,Yhteensa,Tyyppi,Imported
921892,1290937,46989.0,Liike Nyt -eduskuntaryhmä,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2021-05-18 14:13:38.519175
921893,1290938,46989.0,Eduskuntaryhmä Ano Turtiainen,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2021-05-18 14:13:40.755519
927824,1296869,47209.0,Sosialidemokraattinen eduskuntaryhmä,37.0,0.0,0         ,3         ,40        ,eduskuntaryhma,2021-06-24 12:59:36.879046
927825,1296870,47209.0,Perussuomalaisten eduskuntaryhmä,0.0,35.0,0         ,3         ,38        ,eduskuntaryhma,2021-06-24 12:59:41.285719
927826,1296871,47209.0,Kansallisen kokoomuksen eduskuntaryhmä,0.0,35.0,0         ,3         ,38        ,eduskuntaryhma,2021-06-24 12:59:44.454781
927827,1296872,47209.0,Keskustan eduskuntaryhmä,30.0,0.0,0         ,0         ,30        ,eduskuntaryhma,2021-06-24 12:59:46.945715
927828,1296873,47209.0,Vihreä eduskuntaryhmä,15.0,0.0,0         ,5         ,20        ,eduskuntaryhma,2021-06-24 12:59:49.560261
927829,1296874,47209.0,Vasemmistoliiton eduskuntaryhmä,14.0,0.0,0         ,2         ,16        ,eduskuntaryhma,2021-06-24 12:59:52.611306
927830,1296875,47209.0,Ruotsalainen eduskuntaryhmä,9.0,0.0,0         ,1         ,10        ,eduskuntaryhma,2021-06-24 12:59:55.042123
927831,1296876,47209.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2021-06-24 12:59:57.639545
927832,1296877,47209.0,Liike Nyt -eduskuntaryhmä,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2021-06-24 12:59:59.922001
927833,1296878,47209.0,Eduskuntaryhmä Valta kuuluu kansalle,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2021-06-24 13:00:03.221859
934736,1303889,47469.0,Sosialidemokraattinen eduskuntaryhmä,29.0,0.0,0         ,11        ,40        ,eduskuntaryhma,2021-10-15 14:08:09.826611
934737,1303890,47469.0,Perussuomalaisten eduskuntaryhmä,0.0,29.0,0         ,9         ,38        ,eduskuntaryhma,2021-10-15 14:08:11.923312
934738,1303891,47469.0,Kansallisen kokoomuksen eduskuntaryhmä,21.0,0.0,0         ,17        ,38        ,eduskuntaryhma,2021-10-15 14:08:14.108603
934739,1303892,47469.0,Keskustan eduskuntaryhmä,22.0,0.0,0         ,8         ,30        ,eduskuntaryhma,2021-10-15 14:08:16.276802
934740,1303893,47469.0,Vihreä eduskuntaryhmä,17.0,0.0,0         ,3         ,20        ,eduskuntaryhma,2021-10-15 14:08:18.520152
934741,1303894,47469.0,Vasemmistoliiton eduskuntaryhmä,9.0,0.0,0         ,7         ,16        ,eduskuntaryhma,2021-10-15 14:08:20.702217
934742,1303895,47469.0,Ruotsalainen eduskuntaryhmä,6.0,0.0,0         ,4         ,10        ,eduskuntaryhma,2021-10-15 14:08:22.869576
934743,1303896,47469.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,3.0,1         ,1         ,5         ,eduskuntaryhma,2021-10-15 14:08:25.116872
934744,1303897,47469.0,Liike Nyt -eduskuntaryhmä,1.0,0.0,0         ,0         ,1         ,eduskuntaryhma,2021-10-15 14:08:27.308012
934745,1303898,47469.0,Eduskuntaryhmä Valta kuuluu kansalle,0.0,1.0,0         ,0         ,1         ,eduskuntaryhma,2021-10-15 14:08:29.58404
